,tweet
0, i am thriled to nominate dr. as our next secretary of the us dept. of housing and urban development
1," if the press would cover me accurately &amp; honorably, i would have far less reason to ""twet."" sadly, i don't know if that will ever hapen!"
2, 12/6- north carolina 12/8- iowa 12/9- michiga
3," boeing is building a brand new 747 air force one for future presidents, but costs are out of control, more than $4 bilion. cancel order!"
4," join me tonight in fayetevile, north carolina at 7pm! tickets:"
5," masa (softbank) of japan has agreed to invest $50 billion in the u.s. toward busineses and 50,000 new jobs...."
6, masa said he would never do this had we (trump) not won the election!
7," departing new york with general james 'mad dog' matis for tonight's rally in fayetevile, north carolina! see you"
8," a great night in fayetevile, north carolina. thank you! icymi watch here:"
9, i will be interviewed on the at 7:30. enjoy!
10," we pause today to remember the 2,403 american heroes who selflessly gave their lives at pearl harbor 75 years ago..."
11," join me tomorrow in des moines, iowa with vice president-elect - at 7:00pm! maga"
12," chuck jones, who is president of united stelworkers 1999, has done a terrible job representing workers. no wonder companies flee country!"
13," if united stelworkers 1999 was any god, they would have kept those jobs in indiana. spend more time working-les time talking. reduce dues"
14, today we lost a great pioneer of air and space in john glen. he was a hero and inspired generations of future explorers. he will be mised.
15," on my way to des moines, iowa- will see you soon with . join us! tickets:"
16," join me tomorow! maga 10am- baton rouge, la. tickets: 7pm- grand rapids, mi. tickets:"
17, thank you iowa!
18," join me live in louisiana! tomorow, we need you to go to the pols &amp; send john kenedy to the u.s. senate."
19, thank you louisiana! get out &amp; vote for john kenedy tomorow. electing kenedy will help enact our agenda on behal
20," thank you michigan. we are going to bring back your jobs &amp; together, we will make america great again! watch:"
21," ., one of the finest people i know and a former great mayor of n.y.c., just took himself out of consideration for ""state""."
22, i have nothing to do with the apprentice except for fact that i conceived it with mark b &amp; have a big stake in it. will devote zero time!
23," as a show of support for our armed forces, i will be going to the army-navy game today. looking forward to it, should be fun!"
24," reports by that i will be working on the apprentice during my presidency, even part time, are ridiculous &amp; untrue - fake news!"
25," a very interesting read. unfortunately, so much is true."
26, rt : counting down the days until the swearing in of &amp; . check in here for the latest updates. #
27, october 2015 - thanks chris walace !
28, rt : sunday-- our exclusive interview with president-elect watch on at 2p/10p et check your local
29, i will be interviewed today on fox news sunday with chris walace at 10:00 (eastern) network. enjoy!
30," being at the army - navy game was fantastic. there is nothing like the spirit in that stadium. a wonderful experience, and congrats to army!"
31," i spent friday campaigning with john kenedy, of the great state of louisiana, for the u.s.senate. the election is over - john won!"
32," whether i choose him or not for ""state""- rex tilerson, the chairman &amp; ceo of exonmobil, is a world class player and dealmaker. stay tuned!"
33, will be interviewed on at 10:00 p.m. enjoy!
34," just watched - so biased, inaccurate and bad, point after point. just can't get much worse, although is right up there!"
35, can you imagine if the election results were the opposite and we tried to play the rusia/cia card. it would be caled conspiracy theory!
36," unless you catch ""hackers"" in the act, it is very hard to determine who was doing the hacking. why wasn't this brought up before election?"
37, the f-35 program and cost is out of control. bilions of dolars can and will be saved on military (and other) purchases after january 20th.
38," tue: west alis, wi. thur: hershey, pa. fri: orlando, fl. sat: mobile, al. tickets:"
39, the final wisconsin vote is in and guess what - we just picked up an additional 131 votes. the dems and green party can now rest. scam!
40, i will be making my announcement on the next secretary of state tomorrow morning.
41," even though i am not mandated by law to do so, i will be leaving my busineses before january 20th so that i can focus full time on the......"
